Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community,Wikidata_actor_id,actor_description
Edward Furlong,3,M,1977-08-02,/m/09k5jvk,/m/02mylf,5,Q309631,American actor
Peter Outerbridge,3,M,1966-06-30,/m/044038p,/m/077ddb,5,Q82377,Canadian actor
Taye Diggs,3,M,1971-01-02,/m/0x67,/m/048s0r,5,Q534006,actor
Allan F. Nicholls,3,M,1945-04-08,,/m/064p3dt,5,Q15442268,Canadian film actor
Terry O'Quinn,3,M,1952-07-15,,/m/033w9g,5,Q271637,American actor
Franka Potente,3,F,1974-07-22,/m/013xrm,/m/02c23m,5,Q159758,English painter and draftsman (c.1775–1851)
Ally Sheedy,3,F,1962-06-13,/m/048z7l,/m/02f8lw,5,Q253513,American actress
Adrian Holmes,3,M,1974-03-31,,/m/03bzwmr,5,Q4685114,Welsh-Canadian actor
Thomas McCarthy,3,M,1966-01-30,/m/07hwkr,/m/0gpprt,5,Q514527,"American actor, writer and film director"
Paul Rodríguez,3,M,1955-01-19,/m/01g7zj,/m/0766nn,5,Q326939,American comedian and actor (born 1955)
Geneviève Bujold,3,F,1942-07-01,,/m/02gpbs,5,Q232845,Canadian actress
Marie Pillet,3,F,1941-07-20,,/m/0bdtm5c,5,Q525916,French actress (1941-2009)
Chelcie Ross,3,M,1942-06-20,,/m/07ct8h,5,Q5089830,American actor
Lucy Punch,3,F,1977-12-30,/m/02w7gg,/m/025__x2,5,Q261579,British actress
Robert Romanus,3,M,1956-07-17,,/m/070j6d,5,Q4347432,American actor
Mekhi Phifer,3,M,1974-12-29,/m/0x67,/m/055tnj,5,Q119676,American actor
F. Valentino Morales,3,M,1969-04-16,,/m/0jz4c_,5,Q509651,"municipality in Dalarna County, Sweden"
Matthew Davis,3,M,1978-05-08,,/m/077z_z,5,Q345032,American actor
Carmen Llywelyn,3,F,1973-08-16,,/m/026wy3l,5,Q2939610,American actress
Daniel Brühl,3,M,1978-06-16,,/m/06qv4y,5,Q58592,German actor
Nigel Hawthorne,3,M,1929-04-05,/m/02w7gg,/m/0n82d,5,Q708,chemical element with symbol Pb and atomic number 82
Michael Murphy,3,M,1938-05-05,,/m/05xd_v,5,Q492789,American film and television actor
Robert Townsend,3,M,1957-02-06,/m/0x67,/m/05w86g,5,Q2159005,American actor
Michael Beach,3,M,1963-10-30,/m/0x67,/m/06ylgw,5,Q1320615,American actor
Jerry Hardin,3,M,1929-11-20,,/m/07qsx2,5,Q2733992,American actor
Salvador Sánchez,3,M,,,/m/0bq9r4t,5,Q5939653,"Mexican television actor, actor and film actor"
Angell Conwell,3,F,1983-08-02,/m/0x67,/m/0cj0pq,5,Q3616845,American actress
Tatyana Ali,3,F,1979-01-24,,/m/01knh9l,5,Q240541,American actress and singer
Tito Larriva,3,M,,,/m/027wgtd,5,Q331461,American musician
Paul Schneider,3,M,1976-03-16,,/m/0dwmn3,5,Q1375823,American film actor
Dakin Matthews,3,M,1943-11-07,,/m/08wd0f,5,Q1157743,American actor
Femi Oyeniran,3,M,,,/m/0282hw2,5,Q5442801,British actor
Francesco Quinn,3,M,1963-03-22,/m/033tf_,/m/0d1xhm,5,Q456966,Italian-born actor
Mary Elizabeth Mastrantonio,3,F,1958-11-17,/m/0xnvg,/m/01msrs,5,Q235205,American actress and singer
Tony Cox,3,M,1958-03-31,/m/0x67,/m/073vx6,5,Q589797,Zimbabwean-born guitarist and composer
Michael Rosenbaum,3,M,1972-07-11,/m/041rx,/m/0q1lp,5,Q311613,American actor (born 1972)
Candela Peña,3,F,1973-07-14,/m/03ttfc,/m/08gdjw,5,Q250382,Spanish actress
Aries Spears,3,M,1975-04-03,/m/0x67,/m/05f1l7,5,Q660241,American comedian
Lisa Gay Hamilton,3,F,1964-03-25,/m/0x67,/m/0306ds,5,Q439053,American actress and director
Noah Segan,3,M,1983-10-05,,/m/027ff6w,5,Q3342509,American actor
Kate Burton,3,F,1957-09-10,,/m/08k7kb,5,Q460457,American actress
Darius McCrary,3,M,1976-05-01,/m/0x67,/m/04n1hk,5,Q712964,actor
Carolyn McCormick,3,F,1959-09-19,,/m/045r__,5,Q2799612,American actress
Vas Blackwood,3,M,1961-01-17,,/m/053k8c,5,Q2053238,British actor
Lesley Ann Warren,3,F,1946-08-16,/m/09kr66,/m/04bdqk,5,Q237214,American singer-actress
Daryl Mitchell,3,M,1965-07-16,/m/0x67,/m/07grx0,5,Q728936,American actor and rapper
Lorraine Bracco,3,F,1954-10-02,/m/0xnvg,/m/02lf70,5,Q229319,American actress
Robert Wisdom,3,M,1953-09-14,/m/0x67,/m/0fxy1f,5,Q320973,American actor
Damon Wayans,3,M,1960-09-04,/m/0x67,/m/02tf1y,5,Q382420,"American comedian, writer, and actor (1960)"
Priscilla Barnes,3,F,1955-12-07,,/m/06y9mn,5,Q245692,American actress
Mike Binder,3,M,1958-06-02,,/m/08jp1f,5,Q1635281,American actor
Lupe Ontiveros,3,F,1942-09-17,,/m/08tbh4,5,Q266804,Mexican-American actress (1942-2012)
Daniel Day-Lewis,3,M,1957-04-29,/m/041rx,/m/016yvw,5,Q166389,British-Irish actor
Jessica Alba,3,F,1981-04-28,/m/0h1nk0k,/m/01yf85,5,Q44077,"American actress, model and businesswoman"
Brahmanandam,1177,M,1956-02-01,,/m/071wvh,6,Q3765029,Indian actor
Prakash Raj,845,M,1965-03-26,/m/075_n6,/m/09tqx3,6,Q1322453,"Indian film actor, director, producer, and television presenter"
Nassar,680,M,1958-03-05,/m/0dryh9k,/m/0dfjb8,6,Q3521977,"Indian film actor, director"
Ali,508,M,1967-10-10,/m/0dryh9k,/m/02rzmzk,6,Q4724516,"Indian Actor, anchor, comedian"
Vivek,479,M,1961-11-19,/m/0dryh9k,/m/05nqq3,6,Q312783,Indian film actor and television personality (1961-2021)
Venu Madhav,453,M,,,/m/02qnyr7,6,Q7920464,South Indian actor
Senthil,446,M,1951-03-23,/m/01rv7x,/m/084g7n,6,Q3536358,Indian actor
Manivannan,440,M,1950-05-03,,/m/0d8cr0,6,Q6750277,"Indian actor, director"
Tanikella Bharani,423,M,1956-07-14,/m/06lshc,/m/02qvhbb,6,Q7683304,Indian actor
Srinivasa Rao Kota,413,M,1947-07-10,,/m/02ql_ms,6,Q6143903,British civil servant (1834-1926)
Raghu Babu,379,M,1964-06-24,/m/0dryh9k,/m/047s_cr,6,Q7282980,Indian actor
Kamal Haasan,358,M,1954-11-07,/m/0cmdl5l,/m/01x2tm8,6,Q381477,Indian actor
Vijayakumar,349,M,1949-08-29,/m/01rv7x,/m/0gp8sg,6,Q3536800,Indian actor and politician
Rajnikanth,337,M,1950-12-12,/m/0cqgdq,/m/02wmbg,6,Q60068,Indian actor
Manorama,332,F,1943-05-26,,/m/07_bv_,6,Q467693,Indian actress (1937-2015)
Dharmavarapu Subramanyam,316,M,1960-08-09,/m/0dryh9k,/m/03chxc3,6,Q5269357,Indian actor
Vadivelu,311,M,1960-10-10,,/m/0627zr,6,Q967495,Indian actor
M. S. Narayana,303,M,1950-05-09,/m/0dryh9k,/m/03c6hwt,6,Q7994331,Indian actor (1951–2015)
Sunil,298,M,1974-02-28,/m/0dryh9k,/m/03chx58,6,Q3536811,Indian (Telugu) actor
Sayaji Shinde,297,M,,/m/0cqgdq,/m/0fr7nt,6,Q7429093,Indian actor
Manobala,274,M,1953-06-04,/m/0dryh9k,/m/06zmg7m,6,Q140642,Tamil director and comedian actor
Charle,246,M,,,/m/0gp_s5,6,Q5074608,Indian actor
Prabhu Ganesan,243,M,1956-12-31,/m/01rv7x,/m/04cdxc,6,Q277665,Indian film actor and producer
Raghuvaran,234,M,1958-12-11,/m/0dryh9k,/m/09_2gj,6,Q3519495,Indian actor
Chiranjeevi,230,M,1955-08-22,/m/0dryh9k,/m/02xfrd,6,Q313243,Indian actor and former politician
Goundamani,227,M,1950-03-18,,/m/05nqnp,6,Q3522069,South Indian Tamil Actor
Krishna Bhagavaan,224,M,1965-07-02,,/m/02vn3cv,6,Q6437382,Indian actor
Chandra Mohan,223,M,1905,,/m/04y6dy0,6,Q5071299,Indian actor (1905-1949)
Santhanam,210,M,1980-01-21,/m/0dryh9k,/m/0gp_x9,6,Q46683,"Indian film actor, born 1980"
Sudha,195,F,,,/m/0gbxgss,6,Q13011628,Telugu actress
Radha Ravi,186,M,,,/m/09g7lgd,6,Q7280194,Indian actor
Meena,185,F,1976-09-16,/m/0dryh9k,/m/046rfv,6,Q3276006,Indian actress
Subbaraju,184,M,1977-02-27,/m/0dryh9k,/m/0h1myb,6,Q16314846,Indian actor
Joseph Vijay,178,M,1974-06-22,/m/01rv7x,/m/04v7k2,6,Q528496,Music Video (Malayalam)
Janagaraj,178,M,1945,,/m/0cdrb9,6,Q6150645,Indian actor
Ramesh Khanna,156,M,,,/m/0d8fv4,6,Q7289407,Indian actor/director
Vaiyapuri,148,M,,/m/0dryh9k,/m/04yfkhb,6,Q7908910,Indian actor
Jaya Prakash Reddy,147,M,,/m/0dryh9k,/m/0b6h1nn,6,Q6167419,Indian actor
M. S. Bhaskar,145,M,1950,/m/01rv7x,/m/026vd2q,6,Q6713081,Indian actor
Sathyaraj,143,M,1954-10-03,,/m/05kfc1,6,Q3522947,Indian actor
Ajith Kumar,138,M,1971-05-01,/m/029f2r,/m/06c53w,6,Q339896,"actor, racer and producer"
Khushboo,136,F,1970-09-19,/m/0dryh9k,/m/04cdsl,6,Q3521226,Indian actress
Simran Bagga,134,F,1976-04-04,/m/02sch9,/m/04cmrt,6,Q3523130,Indian actress
Srividya,132,F,1953-07-24,/m/0dryh9k,/m/026xrkg,6,Q547900,Indian actress (1953-2006)
Karthik Muthuraman,131,M,1960-09-13,,/m/09t6j_,6,Q3521487,Indian playback singer
Nagesh,131,M,1933-09-27,/m/08cjt2,/m/09ld6g,6,Q1022530,Indian actor and comedian (1933–2009)
Ashish Vidyarthi,124,M,1962-06-19,/m/0583cz,/m/0kst7v,6,Q3595438,Indian film actor
Shriya Saran,123,F,1982-09-11,/m/0dryh9k,/m/09r_wb,6,Q292943,Indian actress and model
Sarath Babu,119,M,1951-07-31,,/m/03nr4s4,6,Q3595531,Indian actor
Nizhalgal Ravi,119,M,1953-04-16,,/m/04n24yj,6,Q7042213,"Indian actor, Indian voice actor"
Trisha Krishnan,118,F,1983-05-04,/m/04mvp8,/m/05vzql,6,Q2748513,Indian actress
Sarath Kumar,115,M,1954-07-14,/m/0dryh9k,/m/09k3dk,6,Q3520690,"Indian actor, politician"
Jyothika Saravanan,113,F,1978-10-18,/m/02sch9,/m/08vxk5,6,Q2749279,Indian actress
Hema,112,F,,,/m/0gby81r,6,Q5710886,Indian Telugu actress
Mukesh Rishi,110,M,,/m/01kg2v,/m/026sv5l,6,Q6933443,Indian actor
Akkineni Nagarjuna,109,M,1959-08-29,/m/09m6hr,/m/06pwf6,6,Q3345031,Indian film actor and producer
Ravi Teja,106,M,1968-01-26,/m/09m6hr,/m/0fb_fx,6,Q7296669,Telugu Actor
Jeeva,106,M,,,/m/0j1_07z,6,Q3764525,Indian Telugu actor
Aahuthi Prasad,106,M,,,/m/0gbymjy,6,Q15688357,Indian actor
Delhi Ganesh,106,M,1944-08-01,/m/01rv7x,/m/04cw5sb,6,Q3523308,Indian actor
Dhamu,103,M,,,/m/0gp_tx,6,Q5268876,Indian actor
Anushka Shetty,103,F,1981-11-07,/m/075_n6,/m/0gxv6n,6,Q330970,Indian actress
Roja Selvamani,102,F,1972-11-17,,/m/0bchj6,6,Q3520208,Indian politician and film actress
Rambha,102,F,1976-06-05,/m/0dryh9k,/m/0c18m7,6,Q3519791,Indian actress
Duvvasi Mohan,102,M,,,/m/0gby6v4,6,Q18685832,"Indian comedian, actor and film producer"
Anandaraj,100,M,,,/m/09gjd32,6,Q4751347,Guy who likes boys
Revathi,99,F,1966-07-08,/m/0dryh9k,/m/0brddh,6,Q277996,Indian film director
Pragathi,96,F,,/m/0dryh9k,/m/0gc01m4,6,Q7237601,Indian actress
Sneha,94,F,1981-10-12,/m/0dryh9k,/m/08s0m7,6,Q3520670,Indian actress
Ajay,91,M,,,/m/0gbx2ft,6,Q4699624,Telugu actor
Prabhu Deva,89,M,1973-04-03,/m/0dryh9k,/m/0bby5f,6,Q1190439,"Indian choreographer, film producer & actor"
Arjun Sarja,89,M,1964-08-15,/m/08cjt2,/m/09kt30,6,Q34600,"city in Kyōto prefecture, Japan"
Ramya Krishnan,89,F,1967-09-15,,/m/08cd4j,6,Q3520429,Indian actress
Sriram L.B.,88,M,,/m/0dryh9k,/m/0b6l_q0,6,Q6456254,Indian actor
Chalapathi Rao,85,M,,,/m/0gc3vr0,6,Q15702544,Indian actor
Jaishankar,83,M,1938-07-12,/m/0cmdl5l,/m/09_2w4,6,Q6124275,Indian actor
Kovai Sarala,82,F,,/m/01rv7x,/m/04ygybk,6,Q6434821,Indian actress
Daggubati Venkatesh,80,M,1960-12-13,/m/09m6hr,/m/05yhh7,6,Q5208551,Indian actor
Jayasudha,79,F,1958-12-17,/m/0dryh9k,/m/026grpg,6,Q6167685,Indian actress
Nayanthara,78,F,1985-11-18,/m/04mvp8,/m/025t2jh,6,Q2748319,Indian film actress
Pradeep Rawat,78,M,,/m/031_sd,/m/025xfy6,6,Q13627042,Indian actor
Ambika,77,F,1962-11-16,/m/0dryh9k,/m/0c18z0,6,Q277699,Indian actress
Ganja Karuppu,75,M,,,/m/04y8rc_,6,Q5521346,Indian actor
Vijaykanth,73,M,1952-08-25,/m/0dryh9k,/m/060s9n,6,Q3534435,Indian politician
Abbas,71,M,1975-05-21,,/m/0gqxyl,6,Q312092,Indian actor (born 1975)
Rao Gopal Rao,70,M,1937-01-14,/m/09m6hr,/m/0270lg_,6,Q7293673,Indian Tollywood actor; politician (1937-1994)
Saravanan Sivakumar,69,M,1975-07-23,/m/01rv7x,/m/05l1x8,6,Q3345518,"Indian film actor, producer and television presenter"
Rahul Dev,67,M,,/m/02sch9,/m/026cxyt,6,Q7283589,Indian actor
Devayani,66,F,1973-06-22,/m/01rv7x,/m/025t_m7,6,Q3520566,Indian actress
Mohan Babu,65,M,1952-03-19,/m/0dryh9k,/m/0dkg1g,6,Q3635516,Indian actor
Sonu Sood,65,M,1973-07-30,/m/02sch9,/m/0gxvjg,6,Q2573055,Indian film actor
Thengai Srinivasan,65,M,1937-10-21,/m/01rv7x,/m/05b1219,6,Q7781365,Film comedian
Chinni Jayanth,64,M,1960-07-26,,/m/04ydm1p,6,Q5101191,Indian actor
Karan,63,M,1969-08-19,/m/01rv7x,/m/04jl7nt,6,Q6368373,Indian actor
Prashanth,62,M,1973-04-06,/m/05vhv7,/m/05mgpn,6,Q3534190,Indian actor
Sujatha,61,F,1952-12-10,/m/0dryh9k,/m/04ygpmd,6,Q3273349,actress
Radha,60,F,1965-10-03,/m/0dryh9k,/m/0c18ht,6,Q14943379,Indian actress popular in the 80s and early 90s
Lakshmi,60,F,1952-12-13,,/m/026962k,6,Q277698,Indian actress
V. K. Ramasamy,59,M,1926,,/m/03y1nsv,6,Q7906084,Indian actor
Mahesh Babu,59,M,1975-08-09,,/m/07t5b3,6,Q49212,"public research university in College Station, Texas, United States"
Raadhika Sarathkumar,59,F,1962-09-21,/m/0bhsnb,/m/0brd1d,6,Q183,country in Central Europe
Srinivasa Reddy,58,M,,,/m/0dxfcqz,6,,
Giri Babu,58,M,1946-06-08,,/m/04gnc4q,6,Q5564237,Indian actor
Santhana Bharathi,56,M,,/m/0dryh9k,/m/02qmpkk,6,Q7420144,Indian actor and director
Kajal Aggarwal,56,F,1985-06-19,,/m/03g_263,6,Q224962,Indian actress
Raja Ravindra,55,M,,/m/0dryh9k,/m/0gdl862,6,Q26720881,Indian Telugu film actor
Mayilsamy,55,M,1965-06-05,/m/01rv7x,/m/04y6c5h,6,Q6797299,Indian actor
Vikram,54,M,1966-04-17,,/m/025tcjg,6,Q2363587,Indian actor and playback singer
Gouthami Tadimalla,53,F,1968-07-02,,/m/04cdkf,6,Q3595537,"Indian film actress, television actress, television host and costume designer"
Sriman,53,M,,,/m/07kf51l,6,Q7586409,Indian actor
Napolean,52,M,1963-12-02,,/m/02qmph4,6,Q3534639,"Indian film actor, politician and entrepreneur"
Suman,52,M,1959-08-28,/m/0dryh9k,/m/02qd70z,6,Q3523633,Indian actor
Malavika,51,F,1979-07-19,/m/01xttr,/m/0d8c6k,6,Q3533678,Indian actress born 1979
Charmi,51,F,1987-05-17,/m/02sch9,/m/0fdp18,6,Q3595538,Indian film actress and producer
NTR Jr,50,M,1983-05-20,,/m/0dv47r,6,Q3498996,"Indian actor, dancer, singer and television presenter (b. 1983)"
Vinu Chakravarthy,50,M,,,/m/0k7lj3,6,Q17018102,album by LJ de los Reyes
V.K. Ramaswamy,49,M,1926,/m/0dryh9k,/m/0jt307,6,Q501545,"municipality in Dalarna County, Sweden"
Aarthi,49,F,,,/m/04yh931,6,Q4698698,"airport in Florida, United States of America"
Silk Smitha,48,F,1960-12-02,/m/09m6hr,/m/07hzpc,6,Q1749508,Indian actress (1960-1996)
R. Madhavan,47,M,1970-06-01,/m/0cmdl5l,/m/084z0w,6,Q729982,"Indian actor, film director, and producer"
Jagapati Babu,46,M,1962-02-12,/m/0dryh9k,/m/0fkt5m,6,Q6122194,Indian actor
Vijayashanti,46,F,1966-06-24,/m/0dryh9k,/m/0c03nv,6,Q3595529,Indian politician
Suhasini Mani Ratnam,45,F,1961-08-15,,/m/0b66qd,6,Q467973,Indian actress and director
Sripriya,45,F,,,/m/040785s,6,Q3532507,Indian actress
Gundu Hanmantha Rao,44,M,,/m/0dryh9k,/m/0gbx0xx,6,Q5618679,Indian actor
Thalaivasal Vijay,42,M,,/m/01rv7x,/m/0b75q4d,6,Q7709499,Tamil actor
Allari Naresh,41,M,1983-06-30,/m/09m6hr,/m/0267rkd,6,Q4731165,Indian actor
Ileana D'Cruz,41,F,1987-11-01,/m/0dryh9k,/m/0dm2p6,6,Q1470,Dutch graphic artist (1898–1972)256
Madhavi,41,F,1962-09-14,/m/04gfy7,/m/0g1tyv,6,Q3595184,Indian actress
Arthi Agarwal,39,F,1983-05-04,,/m/027gds6,6,Q4144488,American-born Indian actress
Saranya Ponvannan,39,F,1970-04-26,,/m/09gkv4j,6,Q3530087,Indian actress
Priyamani,39,F,1984-06-04,/m/01rv7x,/m/0282jcy,6,Q3519936,Indian actress
Tamanna Bhatia,38,F,1989-12-21,/m/0dryh9k,/m/027cxm3,6,Q151798,Indian film actress
R.S. Shivaji,38,M,,,/m/0jth_3,6,Q47113574,Indian actor
Madhan Bob,38,M,,,/m/04633h4,6,Q15303664,Indian actor
Rao Ramesh,38,M,,/m/0dryh9k,/m/043p3m2,6,Q28090064,painting by M.J.M. Wiegman
J. D. Chakravarthy,37,M,1970,/m/0dryh9k,/m/0273q5l,6,Q6105225,Indian actor
Soundarya,36,F,1972-07-18,,/m/02vd_b,6,Q3501376,"Indian actress, producer"
Rajendra Prasad,36,M,1956-07-19,,/m/025xz2b,6,Q5516315,Indian actor
Prabhas Raju Uppalapati,35,M,1979-10-23,/m/0dryh9k,/m/0cmn9c,6,Q3136554,Indian film actor
Mumaith Khan,35,F,1985-09-01,/m/0dryh9k,/m/026p2nk,6,Q6935255,Indian actress
Kasinadhuni Viswanath,35,M,1930-02-09,/m/0828vj,/m/01gfzf,6,Q6343602,Indian director and actor
Sivaji,34,M,,,/m/0fqn1t5,6,Q7532334,Indian actor
Subhalekha Sudhakar,34,M,1960-11-19,,/m/0dlm6x0,6,Q7631174,Indian actor
Bhanupriya,34,F,1964-01-15,,/m/08mdtm,6,Q3520003,Indian actress
S. S. Chandran,34,M,,,/m/02w30x4,6,Q7387846,Indian politician
Pawan Kalyan,33,M,1971-09-02,/m/09m6hr,/m/069nv4,6,Q6067643,"Indian Actor, Leader And Politician."
Vadivukkarasi,32,F,,,/m/0k0zjt,6,Q11011658,Film and television actress
Rama Prabha,32,F,1947-05-05,,/m/0537mz2,6,Q7288658,Indian actress
Venniradai Moorthy,32,M,1936,/m/01rv7x,/m/04y8lps,6,Q7920156,Indian actor
Rajiv Kanakala,31,M,,,/m/03np5_z,6,Q7286232,Indian actor
Nutan Prasad,31,M,1945-12-12,,/m/025yr7g,6,Q7070413,Indian actor (1945-2011)
Riyaz Khan,31,M,1972-09-09,/m/01rv7x,/m/04645zm,6,Q3595263,Indian actor
Sundarrajan,31,M,1935-03-01,/m/0dryh9k,/m/0522m32,6,Q6738304,Indian actor
Hansika Motwani,30,F,1991-08-09,/m/0dryh9k,/m/0glr73,6,Q2086574,Indian actress
Devadarshini,30,F,,/m/01rv7x,/m/05zr6lq,6,Q140660,Indian actress
S. P. Balasubrahmanyam,30,M,1946-06-04,,/m/06zp02,6,Q2049688,Indian playback singer
K. S. Ravikumar,30,M,1957-05-30,,/m/0ddvxr,6,Q429143,Indian (Tamil) film director and actor
Pandiarajan,29,M,1959-10-02,,/m/03h654p,6,Q7130635,Indian actor
Ramesh Aravind,29,M,1964-09-10,/m/0dryh9k,/m/02vy1v1,6,Q7289374,Indian actor
Balakrishna Nandamuri,29,M,1960-06-10,/m/0dryh9k,/m/06t5x_,6,Q6963169,Indian film actor and politician
Srihari,29,M,1964-08-15,/m/0dryh9k,/m/02rztxq,6,Q7586371,Indian actor (1964-2013)
Sanghavi,29,F,1975-10-04,,/m/0gpb_1,6,Q3521109,Indian actress
Uttej,28,M,,,/m/0gbykrf,6,Q7903419,"Indian actor, screenwriter"
Babu Mohan,28,M,,,/m/0gc998j,6,Q4838053,"Indian actor, politician"
Adithya,27,M,1974-04-06,,/m/0264vwb,6,Q3299726,Indian film actor
Pasupathy,27,M,1969-05-18,,/m/02650q9,6,Q7143136,Indian actor
Visu,26,M,1941,/m/0dryh9k,/m/09rvdzt,6,Q7936508,Indian writer
Jayam Ravi,26,M,1980-09-10,/m/0dryh9k,/m/08mr3p,6,Q469886,Indian film actor
Meka Srikanth,26,M,1968-03-23,,/m/0fks1z,6,Q6810525,Telugu actor
Asin Thottumkal,26,F,1985-10-26,/m/0dryh9k,/m/0cfxd5,6,Q470226,Indian actress
Jayachitra,26,F,1957,,/m/02679cm,6,Q6167455,Indian actress
T. Gopichand,25,M,1979-06-12,/m/09m6hr,/m/0fpnd7,6,Q3764579,Telugu film actor
Genelia D'Souza,25,F,1987-08-05,/m/0520604,/m/0czmj0,6,Q63730,Indian actress
Ponnambalam,25,M,,,/m/0h0hhq,6,Q7227900,actor
Suman Shetty,25,M,1981-05-01,,/m/0h0db9,6,Q7636941,Indian actor
Namitha Kapoor,25,F,1981-05-10,,/m/0d5g94,6,Q2723672,Indian actress
Malikarjuna Rao,24,M,,,/m/0gbx9mj,6,Q6744201,Indian actor
Saritha,23,F,,,/m/0brdlb,6,Q3524574,Indian actress
J.V. Somayajulu,23,M,1928-04-27,/m/0dryh9k,/m/027vp38,6,Q6107303,Indian actor
Amanchi Venkata Subrahmanyam,23,M,1957-01-02,,/m/0gwzhr6,6,Q4739519,Indian actor
Nagendra Babu,22,M,1961-10-29,,/m/0gcyxg,6,Q13651734,Indian actor
Navdeep,22,M,1980-01-26,,/m/026jf5d,6,Q6982203,Indian actor
Kelly Dorji,22,M,,,/m/09gbs5p,6,Q4166590,Indian actor
Y. Gee. Mahendra,22,M,1950-01-09,/m/0dryh9k,/m/03gv23r,6,Q235550,Indian actor
Karunas,22,M,1970-02-21,/m/01rv7x,/m/0ctb6j,6,Q6373686,Indian actor
Allu Arjun,21,M,1983-04-08,/m/09m6hr,/m/0bj640,6,Q642827,Indian actor
Parthiban,21,M,1957-11-14,/m/01rv7x,/m/09t6r9,6,Q7273911,"Indian film director,actor"
Sampath Raj,21,M,,,/m/04my_7r,6,Q7410100,Indian actor
Ramki,21,M,,,/m/0gbypft,6,Q7289683,Indian actor
Sivakumar,21,M,1941-10-27,/m/01rv7x,/m/06_gn3,6,Q7532374,actor
Poornam Vishwanathan,20,M,1921,,/m/04mxlwb,6,Q7228866,Indian actor
Ilavarasu,20,M,1964,/m/0dryh9k,/m/0gc2xf9,6,Q5997229,Indian actor
P. Vasu,20,M,1954-09-15,,/m/027q7ss,6,Q3535762,"Indian film director, writer, and actor"
Shaam,19,M,1978-04-04,,/m/088wb9,6,Q7459917,Indian model and actor
Pandari Bai,19,F,1930,/m/01kg2v,/m/026kptc,6,Q3764273,Indian actress
Srikanth,19,M,1979-02-28,/m/09m6hr,/m/09k3zs,6,Q84691187,Tamil actor
Jiiva,19,M,1984-01-04,/m/0dryh9k,/m/0j46lfy,6,Q901655,Indian actor
Mansoor Ali Khan,19,M,1964,,/m/02vlsgw,6,Q6751815,Indian actor
Rallapalli,19,M,,/m/0dryh9k,/m/0dr_2h2,6,Q7287031,Indian actor (1945-2019)
Amala,18,F,1968-09-12,/m/03bkbh,/m/02q750h,6,Q3530159,Indian actress
Livingston,18,M,,/m/01rv7x,/m/02rylh6,6,Q6659627,Indian actor
Lawrence Raghavendra,18,M,,/m/0dryh9k,/m/0f2hjq,6,Q7282937,"Indian choreographer, actor, director, producer, philanthropist"
Telangana Sakuntala,18,F,,,/m/0gc8dmq,6,Q7695632,Indian actress (1951-2014)
Ranjitha,18,F,,,/m/0bbvc7_,6,Q7293190,Indian actress
Kausalya,17,F,1979-12-30,/m/0dryh9k,/m/04ykw4,6,Q6378915,Indian actress
Anu Hassan,17,F,1970-07-15,/m/01rv7x,/m/02r74r9,6,Q3530637,Indian actress
Sindhu Tolani,17,F,1983-07-19,,/m/02632qd,6,Q7522247,Indian actress
Silambarasan Rajendran,17,M,1985-02-03,/m/0dryh9k,/m/09jn9t,6,Q330889,"Indian Film Actor, Director, Writer, Music Composer, Dancer, Lyricist and Playback Singer"
R. S. Manohar,16,M,1925-06-29,,/m/07k8j7j,6,Q7273974,Indian actor
Krishnam Raju,16,M,1940-01-20,/m/0dryh9k,/m/025xz63,6,Q6437529,Indian actor
Murali Mohan,16,M,1940-06-24,,/m/026plz8,6,Q6937288,"Indian actor, producer, politician, and businessman"
Sudhakar,15,M,1956-02-01,,/m/04g0yqj,6,Q4897674,Indian actor
Surekha Vani,15,F,,,/m/0hgzhr1,6,,
Reema Sen,15,F,1981-10-29,/m/0dryh9k,/m/07f4g_,6,Q2360082,Indian actress
Ranjith,15,M,1987,,/m/0bmckwz,6,Q7293180,actor who appears in Tamil and Malayalam language films appears as lead role in tv series sendhoorapoove
Mukul Dev,15,M,,/m/0dryh9k,/m/0gbztt_,6,Q2876219,Indian actor
Kalyan Ram,14,M,1978-07-05,,/m/02672dp,6,Q6963172,Indian actor
Suruli Rajan,14,M,1938,,/m/05b3gpy,6,Q7647003,Indian actor (1938-1980)
Radha Kumari,14,F,,,/m/0gbyybw,6,Q19665473,Indian actress
Siva Reddy,14,M,,/m/0dryh9k,/m/0gc2vyq,6,Q7499248,"Indian actor, mimicry artist"
Arya,14,M,1980-12-11,,/m/0c392k,6,Q901649,Indian actor
Siddharth Narayan,14,M,1979-04-17,/m/09m6hr,/m/0b550c,6,Q3124846,Indian actor
Vajja Venkata Giridhar,13,M,,,/m/0gc7xbl,6,Q3335933,"architect, painter and writer (1827-1916)"
Sumanth,13,M,1975-02-09,/m/09m6hr,/m/0fpp9d,6,Q7636956,Telugu film actor
Heera Rajgopal,13,F,1971,,/m/027czg7,6,Q5698080,actress
Ram,13,M,1988-05-15,,/m/0ff0rq,6,Q7288551,Indian film actor
Jhansi,12,F,,,/m/0gc6dht,6,,
Gowtam Raju,12,M,,,/m/0gcmbjq,6,,
Premgi Amaren,12,M,1979-02-03,,/m/02w85g8,6,Q7240492,Indian actor
Manoj Manchu,12,M,1983-05-20,,/m/04q9vbh,6,Q6751191,Indian actor
Raja,12,M,1974-11-09,,/m/0fdr9z,6,Q7285383,film actor
