Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community,Wikidata_actor_id,actor_description,actor_country_of_citizenship,actor_occupation
Ronald Lacey,3,M,1935-09-28,,/m/08j3wq,4,Q1381935,British actor,United Kingdom,"['character actor', 'stage actor', 'film actor', 'television actor', 'actor']"
Windsor Davies,3,M,1930-08-28,,/m/01q6zh,4,Q2332384,Welsh actor (1930–2019),United Kingdom,"['television actor', 'actor', 'singer', 'film actor', 'stage actor', 'factory worker', 'teacher', 'comedian']"
Roy Castle,3,M,1932-08-31,,/m/01vrnjt,4,Q5684618,"English dancer, musician, comedian, actor and television presenter (1932-1994)",United Kingdom,"['comedian', 'actor', 'dancer', 'television presenter', 'film actor', 'singer', 'television actor']"
Jeremy Northam,3,M,1961-12-01,/m/02w7gg,/m/02k6rq,4,Q443961,British actor (born 1961),United Kingdom,"['singer', 'stage actor', 'film actor', 'television actor']"
Grandon Rhodes,3,M,1904-08-07,,/m/09rf__4,4,Q15408068,American actor (1904-1987),United States of America,"['actor', 'television actor']"
Robert Lang,3,M,1934-09-24,,/m/0262zkg,4,Q7346701,English actor (1934-2004),United Kingdom,"['actor', 'television actor']"
Barbara Shelley,3,F,1933-08-15,,/m/06lkjp,4,Q458290,British actress (1932-2021),United Kingdom,"['television actor', 'film actor']"
Zelda Rae Williams,3,F,1989-07-31,,/m/0783r3,4,Q187337,American actress,United States of America,"['actor', 'voice actor', 'comedian', 'film actor', 'television actor', 'film director']"
Alison Doody,3,F,1966-11-11,,/m/038115,4,Q261193,Irish actress and model,Republic of Ireland,"['actor', 'model', 'film actor']"
Virginia North,3,F,1945-01-01,,/m/05zr3xm,4,Q7934430,British actress,United Kingdom,"['actor', 'film actor']"
Harry Secombe,3,M,1921-09-08,/m/0g96wd,/m/03n4z,4,Q762958,Welsh entertainer (1921-2001),United Kingdom,"['comedian', 'singer', 'stage actor', 'film actor', 'television actor']"
Jack Watson,3,M,1915-05-15,,/m/0fcc2q,4,Q519904,British actor (1915-1999),United Kingdom,"['actor', 'film actor', 'television actor']"
Esmond Knight,3,M,1906-05-04,,/m/07hynv,4,Q462314,English actor,United Kingdom,"['stage actor', 'film actor', 'television actor']"
Celia Johnson,3,F,1908-12-18,,/m/015nd2,4,Q272075,English actress (1908–1982),United Kingdom,"['actor', 'stage actor', 'film actor']"
Hywel Bennett,3,M,1944-04-08,,/m/03qpwl,4,Q5962726,Welsh actor (1944-2017),United Kingdom,"['actor', 'television actor']"
Stephen Campbell Moore,3,M,1979-11-30,/m/02w7gg,/m/0ksjjy,4,Q924821,English actor,United Kingdom,"['stage actor', 'film actor', 'actor', 'television actor']"
Michael Jeter,3,M,1952-08-26,/m/07hwkr,/m/01d0b1,4,Q329716,American actor (1952-2003),United States of America,"['actor', 'film actor', 'comedian', 'television actor', 'stage actor', 'voice actor']"
Gina Torres,3,F,1969-04-25,/m/04dbw3,/m/03h1fb,4,Q241471,American actress,United States of America,"['television actor', 'stage actor', 'film actor', 'voice actor']"
Duncan Lamont,3,M,1918-06-17,,/m/03khbz,4,Q1265420,British actor (1918-1978),United Kingdom,"['actor', 'film actor', 'television actor']"
Kenneth Colley,3,M,1937-12-07,,/m/04p2qf,4,Q367017,British actor,United Kingdom,"['actor', 'film actor', 'film director', 'screenwriter', 'film producer', 'television actor']"
Mahmoud el-Meliguy,3,M,1910-12-22,,/m/02pgnn_,4,Q254274,Egyptian actor (1910-1983),Egypt,"['actor', 'screenwriter', 'television actor', 'writer']"
Jay Laga'aia,3,M,1963-09-10,,/m/0781fc,4,Q3324210,New Zealand actor-singer,Australia,"['actor', 'film actor', 'singer', 'television actor']"
Montgomery Clift,3,M,1920-10-17,,/m/01388c,4,Q193102,American actor (1920-1966),United States of America,"['stage actor', 'film actor']"
Zaki Rostom,3,M,1903-03-05,,/m/05mxcl1,4,Q4119548,Egyptian actor,Egypt,['actor']
Colin Farrell,3,M,1976-05-31,/m/06fczy,/m/01wxyx1,4,Q172035,Irish actor,Republic of Ireland,"['actor', 'character actor', 'film actor', 'stage actor', 'television actor']"
George Woodbridge,3,M,1907-02-16,,/m/02q_935,4,Q5546494,English actor (1907-1973),United Kingdom,"['actor', 'stage actor', 'television actor']"
Colin Gordon,3,M,1911-04-27,,/m/07k84c,4,Q1108465,British actor (1911-1972),United Kingdom,"['actor', 'film actor', 'television actor']"
Alex Winter,3,M,1965-07-17,/m/041rx,/m/04xjzx,4,Q1398367,British-American actor,United States of America,"['film director', 'screenwriter', 'stage actor', 'film actor', 'television actor', 'voice actor', 'film producer']"
Douglas Wilmer,3,M,1920-01-08,/m/02w7gg,/m/0ckq6w,4,Q361461,British actor (1920 – 2016),United Kingdom,"['stage actor', 'film actor', 'television actor']"
John Welsh,3,M,1904-11-07,,/m/01tjc9,4,Q15527373,Irish actor (1914-1985),Republic of Ireland,"['actor', 'film actor', 'television actor']"
Peggy Cummins,3,F,1925-12-18,,/m/05hpws,4,Q441467,British actress (1925-2017),United Kingdom,"['actor', 'stage actor', 'film actor']"
Robert Beatty,3,M,1909-10-19,,/m/02kfm5,4,Q634574,Canadian actor (1909-1992),Canada,"['film actor', 'television actor']"
Martha Scott,3,F,1912-09-22,,/m/018qn8,4,Q236394,American actress,United States of America,"['stage actor', 'film actor', 'television actor']"
Nicol Williamson,3,M,1936-09-14,,/m/07c4pv,4,Q725374,Scottish actor,United Kingdom,"['actor', 'stage actor', 'film actor', 'television actor']"
Peter Firth,3,M,1953-10-27,,/m/03rp12,4,Q376981,English actor,United Kingdom,"['stage actor', 'film actor', 'television actor']"
Wendy Hiller,3,F,1912-08-15,,/m/0m40r,4,Q230626,English film and stage actress (1912-2003),United Kingdom,"['actor', 'stage actor', 'film actor']"
Elpidia Carrillo,3,F,1961-08-16,,/m/0432lv,4,Q455010,"Mexican actress, producer and director",Mexico,"['actor', 'camera operator', 'film actor', 'television actor']"
Hardy Krüger,3,M,1928-04-12,,/m/06t0c5,4,Q77342,German actor (1928–2022),Germany,"['actor', 'autobiographer', 'writer', 'film actor', 'television actor']"
Zia Mohyeddin,3,M,1933-06-20,,/m/05q78p,4,Q3575460,Pakistani actor,Pakistan,"['actor', 'television actor']"
Karl Urban,3,M,1972-06-07,,/m/024n3z,4,Q132430,New Zealand actor,New Zealand,"['actor', 'stage actor', 'film actor', 'television actor']"
Brock Peters,3,M,1927-07-02,/m/0x67,/m/01p8d9,4,Q580587,American actor (1927–2005),United States of America,"['television actor', 'film actor', 'actor', 'character actor', 'stage actor', 'voice actor']"
Miranda Otto,3,F,1967-12-16,,/m/0294fd,4,Q294975,Australian actress,Australia,"['actor', 'stage actor', 'film actor']"
Melvyn Hayes,3,M,1935-01-11,/m/0g96wd,/m/07bfhp,4,Q735030,British actor,United Kingdom,"['actor', 'film actor', 'television actor']"
Henry Oscar,3,M,1891-07-14,,/m/026lhy0,4,Q1607113,British actor (1891-1969),United Kingdom,"['stage actor', 'film actor']"
Ahmed Mazhar,3,M,1917-10-08,,/m/0h4d_6,4,Q4166105,actor,Egypt,['actor']
Derek Farr,3,M,1912-02-07,,/m/064l6hd,4,Q5261952,British actor (1912-1986),United Kingdom,['actor']
Ronnie Stevens,3,M,1925-09-02,,/m/0b39c3,4,Q3441799,British actor (1925-2006),United Kingdom,"['actor', 'film actor', 'television actor']"
Torin Thatcher,3,M,1905-01-15,,/m/0fh1qn,4,Q439588,British actor,United Kingdom,"['stage actor', 'film actor', 'television actor']"
Joan Davis,3,F,1907-06-29,,/m/074q_g,4,Q468430,"actress, vaudevillian",United States of America,"['actor', 'stage actor', 'television actor', 'film actor', 'television producer']"
Yvonne Romain,3,F,1938-02-17,,/m/02qfsj8,4,Q1967789,British actress,United Kingdom,"['actor', 'film actor']"
Frankie Vaughan,3,M,1928-02-03,,/m/01n_q5p,4,Q722793,English traditional pop music singer (1928-1999),United Kingdom,"['actor', 'singer']"
Matthew Macfadyen,3,M,1974-10-17,/m/02w7gg,/m/03rnz7,4,Q314954,English actor,United Kingdom,"['stage actor', 'film actor', 'television actor']"
Jacek Koman,3,M,1956-08-15,,/m/04jbs64,4,Q1676929,Polish/Australian actor,Poland,"['actor', 'singer', 'musician', 'stage actor', 'film actor', 'television actor']"
Rupert Davies,3,M,1916-05-22,,/m/0cbmt0,4,Q1357189,British actor (1916-1976),United Kingdom,"['actor', 'stage actor', 'film actor', 'television actor']"
Conchata Ferrell,3,F,1943-03-28,,/m/09fjmd,4,Q232304,American actress (1943-2020),United States of America,"['stage actor', 'film actor', 'television actor']"
Kynaston Reeves,3,M,1893-05-29,,/m/03h623f,4,Q3200960,British actor (1893-1971),United Kingdom,"['actor', 'television actor']"
Gabriel Mann,3,M,1972-05-14,,/m/0dw99y,4,Q973456,American actor and model,United States of America,"['actor', 'model', 'television actor', 'film actor']"
Geena Davis,3,F,1956-01-21,,/m/01fwk3,4,Q280098,American actress,United States of America,"['film actor', 'film producer', 'actor', 'model', 'television actor', 'television producer', 'voice actor']"
Jenny Agutter,3,F,1952-12-20,,/m/01pcql,4,Q234883,British film and television actress,United Kingdom,"['stage actor', 'film actor']"
Deryck Guyler,3,M,1914-04-29,,/m/013t2l,4,Q925756,English actor (1914–1999),United Kingdom,"['actor', 'film actor', 'television actor']"
Gibb McLaughlin,3,M,1884-07-19,,/m/03d2_v7,4,Q5558680,actor,United Kingdom,"['stage actor', 'film actor']"
Terry O'Neill,3,M,1948-02-27,,/m/0fr15f,4,Q3518917,English martial artist,United Kingdom,"['actor', 'karateka']"
Harris Yulin,3,M,1937-11-05,,/m/06w7z5,4,Q1346123,American actor,United States of America,"['television actor', 'film actor', 'stage actor']"
Gretchen Mol,3,F,1972-11-08,,/m/02l6dy,4,Q255268,American actress and former model,United States of America,"['actor', 'model', 'television actor', 'film actor', 'stage actor']"
Brian Cox,3,M,1946-06-01,/m/02g7sp,/m/02xs5v,4,Q34975,Scottish actor,United Kingdom,"['actor', 'film actor', 'stage actor', 'television actor']"
Bill Cobbs,3,M,1934-06-16,/m/0x67,/m/06chtx,4,Q862028,American actor (b. 1934),United States of America,"['actor', 'voice actor', 'television actor', 'film actor']"
Ron Moody,3,M,1924-01-08,/m/041rx,/m/015gx1,4,Q366910,British actor (1924-2015),United Kingdom,"['stage actor', 'film actor', 'writer', 'composer', 'singer', 'television actor']"
Michael Dorman,3,M,1981-04-26,,/m/0bwm5_n,4,Q3308158,New Zealand actor,New Zealand,"['actor', 'television actor']"
Dan O'Herlihy,3,M,1919-05-01,/m/03bkbh,/m/015d2r,4,Q437944,Irish-American actor (1919-2005),Republic of Ireland,"['actor', 'film actor', 'television actor']"
Kenneth Haigh,3,M,1931-03-25,,/m/0h2fc_,4,Q15463577,British actor (1931-2018),United Kingdom,"['actor', 'stage actor', 'television actor']"
Ray Meagher,3,M,1944-07-04,,/m/03n6nb,4,Q2095407,Australian actor,Australia,"['actor', 'film actor', 'television actor']"
Bill Fraser,3,M,1908-06-05,,/m/0750jn,4,Q15072789,Scottish actor (1908-1987),United Kingdom,"['comedian', 'actor', 'television actor']"
John Warwick,3,M,1905-01-04,,/m/0bh9gnm,4,,,,
Siân Phillips,3,F,1933-05-14,/m/06gbnc,/m/016gj9,4,Q237778,Welsh actress (1933-),United Kingdom,"['actor', 'stage actor', 'film actor']"
Cyril Raymond,3,M,1899-02-13,,/m/026q8v1,4,Q5200851,British actor (1899-1973),United Kingdom,['actor']
Seraj Munir,3,M,1901,,/m/05b31qx,4,Q1411670,actor (1904-1957),Egypt,"['stage actor', 'film actor', 'actor']"
Olive Sloane,3,F,1896-12-16,,/m/0bnp410,4,Q7087198,actress (1896-1963),United Kingdom,"['actor', 'film actor']"
Susan Barnes,3,F,,,/m/021lqk7,4,,,,
Ian Bannen,3,M,1928-06-29,,/m/049t4g,4,Q499097,Scottish character actor and occasional leading man (1928-1999),United Kingdom,"['actor', 'stage actor', 'film actor', 'television actor']"
Mary Jerrold,3,F,1877-12-04,,/m/0dgrhz5,4,Q6779921,British actress (1877-1955),United Kingdom,"['actor', 'film actor']"
Dawn Addams,3,F,1930-09-21,,/m/08dt95,4,Q469086,British actress (1930–1985),United Kingdom,"['actor', 'film actor']"
Nancy Stephens,3,F,1949-07-02,,/m/09d8dm,4,Q6963012,American actress and songwriter,United States of America,"['actor', 'television actor', 'film actor', 'voice actor', 'songwriter']"
Ron Falk,3,M,1935-08-23,,/m/0bvd6v5,4,Q55762461,Australian actor (1935-2016),,['actor']
Erwin Geschonneck,3,M,1906-12-27,,/m/02qyp1n,4,Q215582,German actor (1906-2008),Germany,"['stage actor', 'film actor', 'television actor', 'actor']"
Debi Mazar,3,F,1964-08-13,/m/048z7l,/m/0mj1l,4,Q238671,American actress,United States of America,"['voice actor', 'film actor', 'television actor']"
Michael Jayston,3,M,1935-10-29,,/m/05nd5p,4,Q512059,English actor,United Kingdom,"['actor', 'explorer', 'television actor']"
Honor Blackman,3,F,1925-08-22,/m/02w7gg,/m/02htfz,4,Q232840,English actress (1925-2020),United Kingdom,"['actor', 'singer', 'film actor', 'stage actor']"
Gert Fröbe,3,M,1913-02-25,,/m/01tj5w,4,Q76943,German actor (1913-1988),Germany,"['actor', 'film actor', 'stage actor', 'voice actor']"
Naomie Harris,3,F,1976-09-06,/m/02w7gg,/m/020c55,4,Q156586,English actress,United Kingdom,"['actor', 'film actor']"
Lisa Jakub,3,F,1978-12-27,/m/0g8_vp,/m/059w4s,4,Q253785,"Canadian writer, yoga teacher, and former actress",Canada,"['writer', 'film actor', 'television actor']"
Mary Clare,3,F,1892-07-17,,/m/0263m22,4,Q3296162,British actress (1894-1970),United Kingdom,"['stage actor', 'film actor']"
Peter van Eyck,3,M,1911-07-16,/m/01qhm_,/m/027pq1z,4,Q66418,German-American actor (1911-1969),Germany,"['actor', 'film actor']"
Joss Ambler,3,M,1900-06-23,,/m/0bmh2xj,4,Q6291038,actor,Australia,"['actor', 'film actor', 'television actor']"
Jean Kent,3,F,1921-06-29,,/m/0gdqnf,4,Q6170945,English actress (1921-2013),United Kingdom,"['actor', 'film actor']"
Paul Lukas,3,M,1891-05-26,/m/041rx,/m/012j9q,4,Q182057,Hungarian-American actor,Hungary,"['actor', 'screenwriter', 'film actor']"
Albert Lieven,3,M,1906-06-22,,/m/02w01x5,4,Q101884,actor,Germany,"['stage actor', 'film actor']"
Tom Budge,3,M,1982-03-15,,/m/07khz75,4,Q7815122,Australian actor,Australia,['actor']
Sofía Vergara,3,F,1972-07-10,/m/026kx7g,/m/05wty0,4,Q231911,Colombian and American actress and model,Colombia,"['model', 'film actor', 'television presenter', 'television actor', 'television producer', 'voice actor']"
Sydney Tafler,3,M,1916-07-31,,/m/02qjygb,4,Q2373778,British actor (1916-1979),United Kingdom,"['actor', 'television actor']"
Sophie Stewart,3,F,1908-03-05,/m/03lmx1,/m/05myc_k,4,Q7563070,British actress,United Kingdom,['actor']
Ian Hendry,3,M,1931-01-13,,/m/093hly,4,Q1287512,English actor (1931-1984),United Kingdom,"['actor', 'film actor', 'stage actor', 'television actor']"
George Thorpe,3,M,,,/m/075smyb,4,,,,
Georgina Hale,3,F,1943-08-04,,/m/05q6zs,4,Q5548249,British actress,United Kingdom,"['stage actor', 'film actor', 'television actor']"
Frederick Piper,3,M,1902-09-23,,/m/0cmb_vb,4,Q5498555,actor (1902-1979),United Kingdom,"['actor', 'television actor']"
Carol Hawkins,3,F,1949-01-31,,/m/0c057h,4,Q5044363,British actress,United Kingdom,"['actor', 'film actor']"
Aden Young,3,M,1972,,/m/047nz1w,4,Q4682184,Australian actor,Australia,"['actor', 'film director', 'film actor', 'television actor']"
Alfie Bass,3,M,1916-04-10,/m/041rx,/m/04vf83,4,Q1234706,English actor,United Kingdom,"['television actor', 'stage actor', 'film actor']"
Kenneth Griffith,3,M,1921-10-12,,/m/06my04,4,Q676629,Welsh actor (1921-2006),United Kingdom,"['actor', 'philatelist', 'film actor', 'television actor']"
D. A. Clarke-Smith,3,M,1888-08-02,,/m/0cc5kt0,4,Q5203467,British actor (1888-1959),United Kingdom,['actor']
Valerie Leon,3,F,1943-11-12,,/m/07s_tj,4,Q1391469,English actress (1943-),United Kingdom,"['actor', 'film actor']"
Bruno Kirby,3,M,1949-04-28,,/m/0808c5,4,Q517379,American actor (1949–2006),United States of America,"['television actor', 'film actor', 'comedian']"
Yvonne Mitchell,3,F,1915-07-07,,/m/03mh0b,4,Q508329,British actress,United Kingdom,"['stage actor', 'film actor', 'novelist', 'writer']"
Bojana Novakovic,3,F,1981-11-17,/m/04kbvpz,/m/02v_6qy,4,Q457905,Serbian-Australian actress,Australia,"['actor', 'stage actor', 'film actor']"
Liza Minnelli,3,F,1946-03-12,,/m/0g476,4,Q14441,American actress and singer,United States of America,"['actor', 'film actor', 'singer', 'voice actor', 'stage actor', 'television actor', 'choreographer', 'dancer', 'television presenter', 'recording artist']"
Ana Torrent,3,F,1966-07-12,,/m/0cspqw,4,Q457457,Spanish actress,Spain,"['actor', 'film actor']"
Steven Vidler,3,M,1960,,/m/09rvgz1,4,Q7615350,Australian actor,Australia,"['actor', 'film director', 'writer', 'film actor', 'television actor']"
John Jarratt,3,M,1951-08-05,,/m/0847t1,4,Q592869,Australian actor,Australia,"['film actor', 'television actor', 'film director']"
Kenneth Cope,3,M,1931-04-14,,/m/03slgw,4,Q1738852,British actor,United Kingdom,"['actor', 'film actor', 'television actor']"
Sean Pertwee,3,M,1964-06-04,,/m/01xq7p,4,Q1377608,English actor,United Kingdom,"['dub actor', 'stage actor', 'film actor', 'film producer', 'television actor']"
John Stratton,3,M,1925-11-07,,/m/0cl2fr,4,Q6259399,British actor (1925–1991),United Kingdom,"['actor', 'film actor', 'television actor']"
Kamal al-Shennawi,3,M,1921-12-26,,/m/027y1zx,4,Q4165430,Egyptian film and television actor,Egypt,"['actor', 'film director', 'television actor']"
Kelsey Grammer,3,M,1955-02-21,,/m/04cl1,4,Q196560,American actor,United States of America,"['actor', 'dub actor', 'television actor', 'film actor', 'voice actor', 'writer', 'screenwriter', 'film producer', 'television producer']"
Leslie Dwyer,3,M,1906-08-28,,/m/073g89,4,Q3173808,English actor (1906-1986),United Kingdom,"['actor', 'television actor', 'film actor', 'stage actor']"
Sally Ann Howes,3,F,1930-07-20,,/m/061153,4,Q3469977,British actor and singer,United Kingdom,"['singer', 'stage actor', 'film actor']"
Peggy Mount,3,F,1915-05-02,,/m/079drj,4,Q3898783,British comedy actress (1915-2001),United Kingdom,"['actor', 'film actor', 'stage actor', 'television actor']"
Vincent Ball,3,M,1923-12-04,,/m/0c6bdl,4,Q7931660,Australian actor,Australia,"['actor', 'television actor']"
Eddie Izzard,3,M,1962-02-07,/m/0d7wh,/m/0126rp,4,Q254022,British comedian and actor (born 1962),United Kingdom,"['stand-up comedian', 'actor', 'voice actor', 'comedian', 'politician', 'improviser', 'television actor']"
Mark Burns,3,M,1936-03-30,,/m/0809gxv,4,Q736672,English actor (1936-2007),United Kingdom,"['actor', 'film editor', 'film actor', 'television actor']"
Claire Forlani,3,F,1972-07-01,/m/0gf5k1,/m/01x72k,4,Q40228,British actress,United Kingdom,"['actor', 'film actor', 'stage actor']"
Yvonne Owen,3,F,,,/m/0k0q45,4,Q8062495,British actress (1923-1990),United Kingdom,"['actor', 'film actor']"
Sam Bottoms,3,M,1955-10-17,,/m/08679c,4,Q1374559,American actor,United States of America,"['television actor', 'film actor', 'film producer']"
Michael Ripper,3,M,1913-01-27,,/m/0bwd6c,4,Q13360334,British actor (1913-2000),United Kingdom,"['actor', 'film actor', 'television actor']"
Laurence Harvey,3,M,1928-10-01,/m/041rx,/m/015dlv,4,Q374045,Lithuanian-born actor (1928-1973),Lithuania,"['actor', 'film actor', 'film director', 'stage actor']"
Thora Hird,3,F,1911-05-28,/m/0g96wd,/m/0mhzd,4,Q4347204,British actress (1911-2003),United Kingdom,"['actor', 'film actor']"
Paul Scofield,3,M,1922-01-21,,/m/0ht9x,4,Q223988,English actor (1922–2008),United Kingdom,"['voice actor', 'stage actor', 'film actor', 'television actor']"
Grégoire Aslan,3,M,1908-03-28,,/m/025z0fl,4,Q1551529,Armenian actor,Armenia,['actor']
Tony Llewellyn-Jones,3,M,1949,,/m/0gc1dyc,4,Q16611036,Australian actor,Australia,"['actor', 'film actor', 'film producer']"
Jonathan Cecil,3,M,1939-02-22,,/m/09v7ngg,4,Q1250868,British actor,United Kingdom,"['stage actor', 'film actor', 'journalist', 'television actor', 'audiobook narrator']"
Thomas Heathcote,3,M,1917-09-09,,/m/026q71b,4,Q7790555,British actor,India,"['actor', 'television actor']"
Norman Bird,3,M,1920-10-30,,/m/0f_wwf,4,Q15487822,actor,United Kingdom,"['actor', 'dub actor', 'television actor']"
George Baker,3,M,1931-04-01,,/m/01_gty,4,Q1506941,English actor (1931–2011),United Kingdom,"['actor', 'writer', 'film actor', 'stage actor', 'television actor']"
Norman Wooland,3,M,1910-03-16,,/m/0f3l5m,4,Q871231,British character actor (1905-1989),United Kingdom,"['stage actor', 'film actor']"
Tony Goldwyn,3,M,1960-05-20,,/m/042z_g,4,Q224754,American actor and director,United States of America,"['film director', 'voice actor', 'stage actor', 'film actor', 'television actor', 'actor', 'screenwriter', 'film producer']"
Michael Brennan,3,M,1912-09-25,,/m/027fty2,4,Q1927055,actor (1912-1982),United Kingdom,"['actor', 'film actor', 'television actor']"
Joseph Wiseman,3,M,1918-05-15,,/m/02_q_m,4,Q448271,Canadian actor (1918-2009),Canada,"['stage actor', 'film actor', 'television actor']"
Bill Graham,3,M,1931-01-08,/m/041rx,/m/031mly,4,Q862152,German-born Jewish-American impresario and rock concert promoter,United States of America,"['impresario', 'concert production', 'music promoter', 'talent manager', 'entrepreneur']"
Vivien Leigh,3,F,1913-11-05,,/m/0812r,4,Q129429,British actress (1913-1967),United Kingdom,"['film actor', 'stage actor', 'actor']"
Guy Pearce,3,M,1967-10-05,/m/03cbkrf,/m/0184jc,4,Q223745,English-born Australian actor,Australia,"['actor', 'stage actor', 'film actor', 'musician', 'television actor']"
Aaron Stanford,3,M,1976-12-27,,/m/05b3lc,4,Q302786,American actor (born 1976),United States of America,"['actor', 'film producer', 'television actor', 'film actor']"
Michael Coles,3,M,1936-08-12,,/m/05nyj9c,4,Q27922509,English actor (1936-2005),United Kingdom,"['actor', 'television actor']"
Greta Scacchi,3,F,1960-02-18,/m/08v2k7,/m/03crmd,4,Q235351,Italian-Australian actress,Australia,"['actor', 'stage actor', 'film actor']"
Edward Albert,3,M,1951-02-20,,/m/05kp08,4,Q949337,American television and film actor (1951-2006),United States of America,"['actor', 'film actor', 'television actor', 'voice actor', 'musician', 'film producer']"
Francis Matthews,3,M,1927-09-02,,/m/0dk2gr,4,Q563636,British actor,United Kingdom,"['stage actor', 'film actor', 'television actor']"
Betty McDowall,3,F,1933,,/m/0k74s9,4,Q4898919,Australian actress,Australia,['actor']
Richard Wordsworth,3,M,1915-01-19,,/m/0h74dy,4,Q7330091,English actor (1915-1993),United Kingdom,"['actor', 'film actor']"
Janette Scott,3,F,1938-12-14,/m/0g96wd,/m/04yptr,4,Q462335,Film actress,United Kingdom,"['film actor', 'television actor']"
Jimmy Edwards,3,M,1920-03-23,,/m/0586lk,4,Q6200068,British comedy actor,United Kingdom,"['actor', 'comedian', 'film actor', 'stage actor', 'television actor']"
Peter Bull,3,M,1912-03-21,,/m/0f7glr,4,Q1712232,British actor (1912-1984),United Kingdom,"['actor', 'film actor', 'stage actor']"
Linda Hayden,3,F,1953-01-19,,/m/07l_8f,4,Q1825857,British actress,United Kingdom,"['actor', 'film actor']"
Joan Hickson,3,F,1906-08-05,,/m/02trr_,4,Q465125,British actress (1906-1998),United Kingdom,"['stage actor', 'film actor', 'actor']"
Christine Lahti,3,F,1950-04-04,/m/03pqwy,/m/030b93,4,Q232941,American actress and director (born 1950),United States of America,"['film director', 'blogger', 'television actor', 'stage actor', 'film actor']"
Lee Remick,3,F,1935-12-14,,/m/018v_q,4,Q230011,American actress (1935-1991),United States of America,"['actor', 'character actor', 'television actor', 'stage actor', 'film actor']"
Eleanor Bron,3,F,1938-03-14,/m/041rx,/m/0d8vk,4,Q468811,"English stage, film and television actress and author",United Kingdom,"['stage actor', 'film actor']"
Derek Bond,3,M,1920-01-26,,/m/0ksxpx,4,Q5261820,British actor (1920-2006),United Kingdom,"['actor', 'television actor']"
Nigel Havers,3,M,1951-11-06,,/m/01w8jm,4,Q466361,British actor,United Kingdom,"['actor', 'stage actor', 'film actor', 'television actor']"
David Fane,3,M,1966,/m/0404kdr,/m/04gq7vn,4,Q5233538,New Zealand actor,New Zealand,"['actor', 'television actor']"
Peter Gerety,3,M,1940-05-17,,/m/07t2tm,4,Q923485,American actor (born 1940),United States of America,"['television actor', 'film actor', 'stage actor', 'actor']"
Jed Brophy,3,M,1963,,/m/0263jvj,4,Q925680,New Zealand film actor,New Zealand,"['actor', 'film actor']"
Michelle Pfeiffer,3,F,1958-04-29,/m/065b6q,/m/0gx_p,4,Q159778,American actress,United States of America,"['film actor', 'model', 'singer', 'voice actor', 'beauty pageant contestant', 'television actor', 'stage actor', 'film producer']"
Lionel Murton,3,M,1915-06-02,,/m/0289v04,4,Q6555732,Canadian actor (1915-2006),United Kingdom,"['actor', 'film actor', 'television actor']"
Andrew Ray,3,M,1939-05-31,,/m/09d2bq,4,Q2846715,British actor (1939-2003),United Kingdom,"['actor', 'film actor', 'stage actor', 'television actor']"
Jamie Bell,3,M,1986-03-14,/m/02w7gg,/m/04g81j,4,Q297071,English actor,United Kingdom,"['actor', 'film actor', 'ballet dancer', 'television actor']"
Shuler Hensley,3,M,1967-03-06,,/m/05cw7r,4,Q4497257,American actor and singer,United States of America,"['actor', 'television actor']"
Maurice Evans,3,M,1901-06-03,,/m/03bvgc,4,Q1233590,English actor (1901-1989),United Kingdom,"['film producer', 'stage actor', 'film actor', 'television actor', 'actor']"
Lawrence Makoare,3,M,1968-03-20,/m/05748,/m/05q1gn,4,Q737607,New Zealand actor,New Zealand,"['actor', 'film actor']"
River Phoenix,3,M,1970-08-23,/m/041rx,/m/015076,4,Q106514,American actor and musician (1970-1993),United States of America,"['actor', 'television actor', 'film actor', 'street artist', 'musician', 'singer-songwriter', 'composer', 'environmentalist', 'guitarist', 'model']"
Vanda Godsell,3,F,1922-11-17,,/m/02qtr4d,4,Q7914292,British actress (1922-1990),United Kingdom,"['actor', 'film actor']"
Eileen Herlie,3,F,1918-03-08,,/m/05yyyz,4,Q5349381,British actress (1918-2008),United States of America,"['actor', 'television actor', 'stage actor']"
Alan Dobie,3,M,1932-06-02,,/m/02wvxvl,4,Q4706518,actor,United Kingdom,"['actor', 'television actor']"
Ian Richardson,3,M,1934-04-07,/m/03lmx1,/m/03v1sp,4,Q363691,British actor (1934-2007),United Kingdom,"['stage actor', 'film actor', 'television actor']"
Sybil Danning,3,F,1952-05-24,/m/02ctzb,/m/074r2y,4,Q89554,Austrian actress,Austria,"['film producer', 'model', 'film actor']"
David Hedison,3,M,1927-05-20,,/m/0346xp,4,Q72262,American actor (1927-2019),United States of America,"['actor', 'television actor', 'stage actor', 'film actor']"
Matt Damon,91,M,1970-10-08,/m/0cnvdq1,/m/0169dl,5,Q175535,"American actor, screenwriter, and producer",United States of America,"['film actor', 'screenwriter', 'film producer', 'writer', 'voice actor', 'actor', 'television producer', 'manufacturer', 'television actor']"
Danny Trejo,88,M,1944-05-16,/m/01g7zj,/m/01xllf,5,Q223830,American actor,United States of America,"['actor', 'television actor', 'film actor', 'film producer', 'character actor', 'boxer', 'voice actor']"
Cheech Marin,80,M,1946-07-13,/m/025rpb0,/m/029k55,5,Q73007,American actor,United States of America,"['actor', 'art collector', 'writer', 'screenwriter', 'film actor', 'television actor', 'voice actor', 'film director']"
